timestamp,label_original,label_original_confidence,label_noised,label_noised_confidence,label_denoised,label_denoised_confidence,confidence_difference,PSNR,SSIM,MSE
1693908880620,Earth,0.914204,Bad,0.936421,Earth,0.744462,-0.169742,39.94325659758803,0.9857416311605266,6.588016847363946
1693908953420,Earth,0.97323,Bad,0.942463,Earth,0.90776,-0.06547,35.61392166513474,0.9696000044097461,17.852054102891156
1694082589120,Earth,0.835634,Bad,0.945042,Earth,0.791594,-0.04404,35.281009726458315,0.9680858256727692,19.274334343112244
1694082665200,Earth,0.914706,Bad,0.879496,Earth,0.877654,-0.037052,36.78934258011271,0.9806717270330664,13.61902768920068
1694082923759,Earth,0.9119,Bad,0.835417,Earth,0.861766,-0.050134,36.40780715749795,0.9738757121876076,14.869612298044217
1694082999279,Earth,0.833098,Bad,0.933886,Earth,0.522569,-0.310529,37.59059372204108,0.9774373742161502,11.324550914115646
1694083677360,Earth,0.85912,Bad,0.919978,Earth,0.699713,-0.159407,37.841024721329056,0.9781152611177102,10.690004517431973
1694083782400,Earth,0.842704,Bad,0.945987,Earth,0.889316,0.046612,38.07552561560166,0.9787883940910694,10.128095769557824
1694084162162,Earth,0.831075,Bad,0.925919,Earth,0.875653,0.044578,40.26084034815014,0.9812084425480447,6.123452115221088
1694296079181,Earth,0.859179,Bad,0.884086,Earth,0.501607,-0.357572,33.13479274916812,0.968989150911215,31.593743356717688
1694296389424,Earth,0.889452,Bad,0.741244,Earth,0.865238,-0.024214,34.81851989584132,0.9706408198469179,21.44017724277211
1694296678621,Earth,0.981297,Bad,0.774388,Earth,0.814214,-0.167083,35.129312258653414,0.9769746664845538,19.959475977891156
1694296875902,Earth,0.90652,Bad,0.917593,Earth,0.899948,-0.006572,36.70970485865489,0.9830092943475238,13.871067176870747
1694297061021,Earth,0.836431,Bad,0.853417,Earth,0.860279,0.023848,34.876152149504264,0.970878924738566,21.15753879676871
1694297269343,Earth,0.806482,Bad,0.91388,Earth,0.700753,-0.105729,38.720986514010065,0.9866599795002041,8.729346035289115
1694430832602,Earth,0.819048,Bad,0.643564,Earth,0.716028,-0.10302,34.600614449131065,0.9795273560237833,22.543373990221088
1694430909719,Earth,0.908889,Bad,0.938984,Earth,0.79818,-0.110709,33.78459442556253,0.961968359794812,27.203257865646258
1694431211883,Earth,0.87347,Bad,0.78961,Earth,0.878321,0.004851,34.28592705431916,0.9781660303361054,24.237490699404763
1694431299961,Earth,0.95954,Bad,0.936024,Earth,0.878387,-0.081153,35.731628539231835,0.9721976438426317,17.37470769557823
1694431981719,Earth,0.853422,Bad,0.925828,Earth,0.931852,0.07843,37.984056925370396,0.9648027452879896,10.343670280612244
1694554385806,Earth,0.741235,Bad,0.944693,Earth,0.508343,-0.232892,39.200835728437454,0.9851870210192124,7.816220238095238
1694599402458,Earth,0.888289,Bad,0.807092,Earth,0.793759,-0.09453,36.457706021338964,0.9916009040497601,14.69974356930272
1694599567338,Earth,0.896762,Bad,0.795527,Earth,0.892899,-0.003863,30.54873598019035,0.9466125899245906,57.30687978316327
1694599779662,Earth,0.818887,Bad,0.901088,Earth,0.874044,0.055157,31.433152853913874,0.9532662618372661,46.748219600340136
1694432053801,Earth,0.810022,Bad,0.924786,Bad,0.497667,,40.349392085946405,0.9815523163623365,5.999860491071429
1694554461485,Earth,0.82264,Bad,0.93709,Bad,0.663906,,39.68545288043351,0.9855018054054582,6.990931919642857
1694554768046,Earth,0.716108,Bad,0.956456,Bad,0.83382,,38.35863925293106,0.991338032886122,9.488912361819727
1694599691018,Earth,0.960012,Bad,0.934497,Bad,0.623863,,36.595618053766145,0.9942865405803675,14.24028087797619
1694296470061,Earth,0.97387,Earth,0.909417,Earth,0.938729,-0.035141,28.780554557960137,0.9790320176672894,86.10431281887755
1694431796679,Earth,0.852475,Earth,0.481207,Earth,0.842974,-0.009501,29.618014102936755,0.9818075133516271,71.00336814413265
1694432159799,Earth,0.79252,Earth,0.707808,Earth,0.934171,0.141651,26.929298555724106,0.9585856473998645,131.87136612457482
1694599487499,Earth,0.97879,Earth,0.495679,Earth,0.969753,-0.009037,29.853958374746917,0.9526006817476743,67.24879756590136
